Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f01_3.pth,v3,f_01,10000,1,[4.18232312 5.        ],[-2.80355733  2.32835582],7.47932,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,2,[4.18227164 5.        ],[-2.69358288  2.98277696],7.16565,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,3,[4.18225218 5.        ],[-2.57577719  3.17464319],7.00021,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,0,[ 1.26421637 -0.92859582],[ 1.30835906 -1.15355239],0.22925,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,1,[ 1.26271177 -0.92846903],[-2.80355733  2.32835582],5.20975,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,2,[ 1.26433657 -0.92906009],[-2.69358288  2.98277696],5.56485,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,3,[ 1.26431801 -0.92970095],[-2.57577719  3.17464319],5.62067,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,0,[4.47076341 5.        ],[-3.25430768  2.47969541],8.1258,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,1,[4.47068033 5.        ],[-2.80355733  2.32835582],7.74934,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,2,[4.47069395 5.        ],[-2.69358288  2.98277696],7.44285,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,3,[4.47068467 5.        ],[-2.57577719  3.17464319],7.27905,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,0,[3.91488633 3.61553211],[ 1.30835906 -1.15355239],5.4349,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,1,[3.91525795 3.61491759],[-2.80355733  2.32835582],6.84089,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,2,[3.91203171 3.61683213],[-2.69358288  2.98277696],6.63598,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,3,[3.9147741  3.61460496],[-2.57577719  3.17464319],6.50545,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,0,[-0.02987775 -0.60892966],[ 1.30835906 -1.15355239],1.44482,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,1,[-2.67971478  5.        ],[-2.80355733  2.32835582],2.67451,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,2,[-2.6797966  5.       ],[-2.69358288  2.98277696],2.01727,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,3,[-2.67975259  5.        ],[-2.57577719  3.17464319],1.82832,PSO
