Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f01_1.pth,v3,f_01,100,3,[5. 5.],[3.8242938 4.1530502],1.449,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,0,[4.37909434 5.        ],[3.81938199 4.15056568],1.01726,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,1,[4.3791138 5.       ],[3.81990017 4.15192244],1.01585,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,2,[4.37910535 5.        ],[3.82565229 4.14996556],1.01433,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,3,[4.37908279 5.        ],[3.8242938 4.1530502],1.01248,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,0,[4.18229784 5.        ],[3.81938199 4.15056568],0.92371,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,1,[4.18232312 5.        ],[3.81990017 4.15192244],0.92227,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,2,[4.18227164 5.        ],[3.82565229 4.14996556],0.92181,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,3,[4.18225218 5.        ],[3.8242938 4.1530502],0.91949,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,0,[3.44714107 3.89049659],[3.81938199 4.15056568],0.45409,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,1,[3.44586019 3.89005109],[3.81990017 4.15192244],0.4566,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,2,[3.44764233 3.89106674],[3.82565229 4.14996556],0.45817,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,3,[3.4452398  3.88975809],[3.8242938 4.1530502],0.46152,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,0,[3.91488633 3.61553211],[3.81938199 4.15056568],0.54349,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,1,[3.91525795 3.61491759],[3.81990017 4.15192244],0.54541,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,2,[3.91203171 3.61683213],[3.82565229 4.14996556],0.54009,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,3,[3.9147741  3.61460496],[3.8242938 4.1530502],0.54599,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,0,[4.47076341 5.        ],[2.82800139 4.15070608],1.84932,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,1,[4.47068033 5.        ],[3.82366066 4.149526  ],1.06862,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,2,[4.47069395 5.        ],[3.82334226 4.15010762],1.06835,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,100,3,[4.47068467 5.        ],[3.82302994 4.15176284],1.06722,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,0,[5.         3.70033367],[3.82224132 4.14976484],1.2606,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,1,[5.         3.70037158],[3.82366066 4.149526  ],1.25917,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,2,[5.         3.70039072],[3.82334226 4.15010762],1.25967,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,3,[5.         3.70039114],[3.82302994 4.15176284],1.26055,PSO
