Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f03_2.pth,v1,f_03,1000,4,[5.         3.75479886],[3.82286729 4.15060479],1.2419,14.148403608716846,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,5,[5. 5.],[3.8232494 4.1502129],1.45151,14.168496399442324,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,6,[5.         3.75477936],[3.821554  4.4904893],1.38925,14.119048941240854,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,7,[5.         3.75488442],[4.81734835 4.14970895],0.43503,14.069547737057936,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,8,[5.         3.75478836],[3.82258647 4.49045104],1.38835,14.018486742688063,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,9,[5.         3.75480854],[3.82161048 4.15015463],1.24294,13.971998339197615,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,10,[5. 5.],[2.83333346 4.14562137],2.32904,13.99014583287962,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,11,[5. 5.],[4.81905445 4.1498634 ],0.86918,14.00916876197827,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,12,[5.         3.75519362],[2.82789632 4.1497455 ],2.20765,13.970706148086133,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,13,[5.        3.7547545],[3.82803825 4.14936529],1.23661,13.92850434094122,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,14,[5.         3.75480443],[4.81842596 4.49041884],0.75769,13.890561849015615,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,15,[5.         3.75477617],[3.82197746 4.14996575],1.24254,13.8464260101177,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,16,[5.         3.75477697],[4.81915061 4.15006125],0.43469,13.80296251260125,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,17,[5.         3.75482186],[3.82291483 4.15002886],1.24166,13.75991468706469,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,18,[5. 5.],[3.82376751 4.15139879],1.4504,13.779119200841272,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,19,[5.         3.75495723],[3.82242494 4.14968903],1.24197,13.73863642524054,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,0,[5.         4.33367055],[3.82224132 4.14976484],1.19203,13.63304318089709,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,1,[5.         4.33366863],[3.82366066 4.149526  ],1.19066,13.623990666781147,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,2,[5.         4.33354488],[3.82334226 4.15010762],1.19087,13.61970526381836,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,3,[5.         4.33369184],[3.82302994 4.15176284],1.19095,13.613420304363109,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,4,[5.         4.33367872],[3.82286729 4.15060479],1.19128,13.608976792322656,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,5,[5.         4.33367732],[3.8232494 4.1502129],1.19097,13.60397773273059,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,6,[5.         4.33366699],[2.82854714 4.49059382],2.17712,13.592533054094579,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,7,[5.         4.33365123],[4.81734835 4.14970895],0.25922,13.584126978699326,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,8,[5.         4.33366152],[3.82258647 4.49045104],1.18781,13.57650416497326,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,9,[5.         4.33363289],[3.82161048 4.15015463],1.19259,13.569458691546751,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,10,[5.        4.3336768],[2.83333346 4.14562137],2.17481,13.562849876072278,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,11,[5.         4.33363984],[4.81905445 4.1498634 ],0.25791,13.556821199992783,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,12,[1.74825159 4.37563082],[4.81822624 4.15005875],3.07825,13.519201490221318,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,13,[5.         4.33363108],[3.82803825 4.14936529],1.18636,13.511859137104961,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,14,[5.         4.33367707],[4.81842596 4.49041884],0.23987,13.504169869703727,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,15,[5.        4.3336966],[3.82197746 4.14996575],1.19226,13.497683830370757,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,16,[5.        4.3336433],[4.81915061 4.15006125],0.2577,13.493149485766493,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,17,[5.         4.33369055],[3.82291483 4.15002886],1.19133,13.48920025136001,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,18,[5.         4.33367977],[3.82376751 4.15139879],1.19027,13.486818273566838,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,19,[5.         4.33368867],[3.82242494 4.14968903],1.19186,13.48074469254111,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,0,[-5.         -0.17081638],[ 1.30835906 -1.15355239],6.38445,24.961275721845663,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,1,[-5.         -0.17081162],[-2.80355733  2.32835582],3.32719,25.09852900530254,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,2,[-5.         -0.17077733],[-2.69358288  2.98277696],3.90698,25.236885729030245,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,3,[-5.         -0.17102858],[-2.57577719  3.17464319],4.13163,25.363156624854927,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,4,[-5.         -0.17080443],[-2.38036236  2.65794006],3.85542,25.49116307666653,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,5,[-5.         -0.17070732],[ 1.15382497 -0.99217597],6.20841,25.59759950674462,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,6,[-5.         -0.17077031],[-2.18133046  3.38867994],4.54033,25.71848378928203,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,7,[-5.         -0.17079768],[-3.30791779  2.84248425],3.45587,25.82527794719977,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,8,[-5.         -0.17084339],[-2.41722202  2.54958253],3.75119,25.93610551497866,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,9,[-5.         -0.17082745],[ 0.86864783 -1.01056625],5.92842,26.04030626149188,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,10,[-5.         -0.17082389],[ 0.97897427 -1.27960329],6.08091,26.151098052998144,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,11,[-5.         -0.17075766],[-2.9052496  3.0510861],3.84295,26.257271180367052,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,12,[-5.        -0.1708376],[-3.52089956  2.90809621],3.41578,26.36748588317994,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,13,[-5.         -0.17080822],[-3.21402971  2.12561632],2.90917,26.487902596359195,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,14,[-5.         -0.17073484],[-2.42116662  3.01406402],4.09797,26.591647583813586,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,15,[-5.        -0.1707825],[-2.81033396  2.79590028],3.68725,26.70502421520519,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,16,[-5.         -0.17076255],[ 1.35088107 -1.50955608],6.49046,26.800571525584335,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,17,[-5.         -0.17074881],[-1.70120892  2.8927296 ],4.50188,26.895363212309274,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,18,[-3.19221413  5.        ],[-3.20423118  2.11968358],2.88034,26.88197186080988,PSO
models/v1/training_v1_f24_1.pth,v1,f_24,100,19,[-5.         -0.17075595],[-2.37230495  3.11537579],4.20755,26.99370787597764,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,0,[ 2.1432912 -1.5615624],[ 1.30835906 -1.15355239],0.92929,11.492128608358147,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,1,[ 2.14438629 -1.56070774],[-2.80355733  2.32835582],6.29341,11.48274933222449,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,2,[ 2.14218408 -1.55652622],[-2.69358288  2.98277696],6.63249,11.475757510309654,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,3,[ 2.14318603 -1.56072562],[-2.57577719  3.17464319],6.68523,11.469103769112163,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,4,[ 2.14246852 -1.55917853],[-2.38036236  2.65794006],6.18386,11.461961702669424,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,5,[-2.24977101  5.        ],[ 1.15382497 -0.99217597],6.89135,11.455668466000526,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,6,[ 2.14338952 -1.55957327],[-2.18133046  3.38867994],6.57179,11.448944555055244,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,7,[ 2.14380191 -1.56239324],[-3.30791779  2.84248425],7.00887,11.440909783190648,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,8,[ 2.14347917 -1.56222984],[-2.41722202  2.54958253],6.1406,11.43360865498895,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,9,[ 2.14334876 -1.56049739],[ 0.86864783 -1.01056625],1.38827,11.424278283589084,PSO
