Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,1,[-0.25889028  2.99261687],[-0.25889028  1.98261687],1.01,BasinHopping
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,2,[1.6849213  1.86545666],[ 0.29802081 -0.21700481],2.50203,BasinHopping
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,3,[3.08011096 2.92722257],[0.91298578 0.93570662],2.94322,BasinHopping
models/v3/training_v3_f03_1.pth,v3,f_03,100,0,[3.19893127 3.50988226],[-1.9147766   3.56171033],5.11397,BasinHopping
models/v3/training_v3_f03_1.pth,v3,f_03,100,1,[0.77987126 4.90284373],[-3.32837962  4.47986384],4.12997,BasinHopping
models/v3/training_v3_f03_1.pth,v3,f_03,100,2,[-0.46274634  4.49629403],[0.06961257 3.16374469],1.43495,BasinHopping
models/v3/training_v3_f03_1.pth,v3,f_03,100,3,[1.04688735 4.86593865],[0.74162252 3.51419074],1.38579,BasinHopping
models/v3/training_v3_f03_2.pth,v3,f_03,1000,0,[0.55094683 2.36639966],[-1.9147766   3.56171033],2.74018,BasinHopping
models/v3/training_v3_f03_2.pth,v3,f_03,1000,1,[1.76248748 4.47550467],[-3.32837962  4.47986384],5.09087,BasinHopping
models/v3/training_v3_f03_2.pth,v3,f_03,1000,2,[1.50231837 3.33672517],[0.06961257 3.16374469],1.44311,BasinHopping
models/v3/training_v3_f03_2.pth,v3,f_03,1000,3,[1.59401263 3.90307203],[0.74162252 3.51419074],0.93691,BasinHopping
models/v3/training_v3_f03_3.pth,v3,f_03,10000,0,[3.57017858 3.95092505],[-1.9147766   3.56171033],5.49875,BasinHopping
models/v3/training_v3_f03_3.pth,v3,f_03,10000,1,[1.63636537 4.29579405],[-3.32837962  4.47986384],4.96816,BasinHopping
models/v3/training_v3_f03_3.pth,v3,f_03,10000,2,[0.47497758 3.62850943],[0.06961257 3.16374469],0.61671,BasinHopping
models/v3/training_v3_f03_3.pth,v3,f_03,10000,3,[1.81825237 4.38609565],[0.74162252 3.51419074],1.38541,BasinHopping
models/v3/training_v3_f03_4.pth,v3,f_03,100000,0,[2.51045401 3.99082231],[-1.9147766   3.56171033],4.44599,BasinHopping
models/v3/training_v3_f03_4.pth,v3,f_03,100000,1,[2.24127499 3.9004861 ],[-3.32837962  4.47986384],5.59971,BasinHopping
models/v3/training_v3_f03_4.pth,v3,f_03,100000,2,[-0.53502546  3.62850943],[0.06961257 3.16374469],0.76262,BasinHopping
models/v3/training_v3_f03_4.pth,v3,f_03,100000,3,[3.5654558  4.32208083],[0.74162252 3.51419074],2.93713,BasinHopping
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,0,[3.88765412 4.13502835],[-1.9147766   3.56171033],5.83069,BasinHopping
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,1,[0.75962695 3.75427111],[-3.32837962  4.47986384],4.1519,BasinHopping
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,2,[0.22876117 3.65657339],[0.06961257 3.16374469],0.51789,BasinHopping
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,3,[1.93465716 3.76368325],[0.74162252 3.51419074],1.21884,BasinHopping
models/v3/training_v3_f24_1.pth,v3,f_24,100,0,[-0.19305647 -0.67112706],[-1.09953118  0.41187654],1.4123,BasinHopping
models/v3/training_v3_f24_1.pth,v3,f_24,100,1,[-0.32066083 -0.49677939],[-1.95942509  1.60086524],2.66189,BasinHopping
models/v3/training_v3_f24_1.pth,v3,f_24,100,2,[-0.10087215 -0.61771261],[-0.12868271 -1.56370597],0.9464,BasinHopping
models/v3/training_v3_f24_1.pth,v3,f_24,100,3,[-0.13493309 -0.72344729],[ 0.63566148 -1.52258357],1.11015,BasinHopping
models/v3/training_v3_f24_2.pth,v3,f_24,1000,0,[-0.85475678  1.17137558],[-1.09953118  0.41187654],0.79797,BasinHopping
models/v3/training_v3_f24_2.pth,v3,f_24,1000,1,[-4.81381175  3.40459808],[-1.95942509  1.60086524],3.37653,BasinHopping
