Path,Version,Function,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f24_4.pth,v3,f_24,2,[ 1.43386862 -1.19907676],[ 1.40633451 -1.41298309],0.21567,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,3,[ 1.43387242 -1.19907771],[ 1.13492456 -1.44145538],0.38486,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,0,[-2.10899282  2.40797721],[-2.9101056   3.05449251],1.02945,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1,[-2.11784834  2.41936936],[-2.53394404  2.82016692],0.57773,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,2,[ 1.14616952 -0.75108475],[ 1.40633451 -1.41298309],0.71119,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,3,[ 1.13092443 -0.72861161],[-2.85101239  3.14933533],5.55826,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,0,[5. 5.],[-2.64811741  2.62803826],8.00749,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,1,[5. 5.],[-2.53394404  2.82016692],7.84296,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,2,[5. 5.],[-3.27721835  2.03402489],8.79257,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,3,[5. 5.],[ 1.25245034 -1.25170003],7.28889,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,0,[5.         3.70036397],[-2.64811741  2.62803826],7.72293,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1,[5.         3.70032592],[-2.53394404  2.82016692],7.58518,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,2,[5.         3.70032602],[-3.27721835  2.03402489],8.44328,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,3,[5.         3.70032589],[ 1.36499101 -1.05849158],5.98829,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,0,[-5.          3.40432564],[-2.64811741  2.62803826],2.47669,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1,[-5.         3.4043049],[-2.53394404  2.82016692],2.53429,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,2,[ 0.88558566 -0.67825405],[ 1.0913058  -1.08536052],0.45613,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,3,[ 0.8855711  -0.67824335],[ 1.25245034 -1.25170003],0.68077,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,0,[3.44720752 3.89016764],[-2.64811741  2.62803826],6.22463,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,1,[3.44724966 3.89022585],[-2.53394404  2.82016692],6.07616,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,2,[3.4472149 3.8901717],[-3.27721835  2.03402489],6.97591,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,3,[3.44724368 3.89020656],[ 1.25245034 -1.25170003],5.59074,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,0,[5.         4.17748502],[ 1.30744694 -1.15420232],6.48551,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1,[5.         4.17749733],[-3.33523643  3.18721012],8.39386,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,2,[5.         4.17748515],[-3.61961723  3.16785734],8.67855,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,3,[5.         4.17747978],[-3.18252063  3.02679854],8.26303,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,0,[4.67775333 4.03874129],[-2.64811741  2.62803826],7.46046,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,1,[4.67863358 4.03844206],[ 1.07722654 -1.53707314],6.63751,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,2,[4.67861601 4.03845043],[-3.66410297  3.52458208],8.35853,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,3,[4.67086682 4.04111223],[ 1.25245034 -1.25170003],6.30075,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,0,[4.1822964 5.       ],[-2.85847872  2.69282324],7.40916,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,1,[4.1823042 5.       ],[-2.53394404  2.82016692],7.06114,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,2,[4.18230446 5.        ],[-3.27721835  2.03402489],8.02755,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,3,[4.18230424 5.        ],[-3.17820093  3.02482438],7.62092,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,0,[ 1.26379302 -0.92885336],[-3.44703993  3.45509422],6.43513,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,1,[ 1.26379455 -0.92886744],[-2.59336347  2.72569639],5.31352,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,2,[ 1.26371726 -0.9287438 ],[-2.91221685  3.05607876],5.77211,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,3,[ 1.2637883  -0.92885143],[-3.03277895  2.40744418],5.43979,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,0,[4.47076341 5.        ],[-3.25502881  2.47995618],8.12641,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,1,[4.47068307 5.        ],[-3.02490871  2.8629307 ],7.79429,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,2,[4.47068618 5.        ],[-3.13016426  3.12620014],7.82841,PSO
models/v3/training_v3_f03_1.pth,v3,f_03,3,[4.4706834 5.       ],[-3.35282569  2.7377155 ],8.14403,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,0,[3.91508557 3.61475988],[-2.64811741  2.62803826],6.63696,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,1,[3.91512309 3.614734  ],[-2.53394404  2.82016692],6.49783,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,2,[3.91508657 3.6147484 ],[-3.27721835  2.03402489],7.36396,PSO
models/v3/training_v3_f01_5.pth,v3,f_01,3,[3.91509764 3.61474449],[ 1.25245034 -1.25170003],5.54725,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,0,[-0.03051119 -0.60804478],[-3.13077669  3.12664365],4.85382,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,1,[-2.6797846  5.       ],[-2.53394404  2.82016692],2.18471,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,2,[-2.67979104  5.        ],[ 0.93964887 -0.92548397],6.94346,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,3,[-2.67978579  5.        ],[ 1.25245034 -1.25170003],7.38554,PSO
